dataset,id_pattern,field_or_file,definition,allowed_values_or_format,sensitivity,storage_rule,thesis_use,retention_or_disposal
platform,W1-G-001,sample_id,窗口—主体—序号,W1-W4＋G/M/B/U＋三位序号,低,研究表与网页快照分开,第三章内容分析,按学校要求保存公开材料索引
platform,W1-G-001,engagement_snapshot,采集当日可见互动数,整数＋collected_at,低,不覆盖旧快照,第三四章传播比较,保留全部时间点
interview,INT-YR-03,audio_file,经同意产生的原始录音,WAV或M4A,高,加密原始区；不进公开仓库,仅用于核对转写,转写核对与撤回期后按同意书处理
interview,INT-YR-03,identity_key,真实身份与研究编号对应表,加密表,极高,与转写分盘或分账户保存,不得进入论文,论文提交及撤回期后销毁
interview,INT-YR-03,transcript,去标识访谈文本,UTF-8文本,中,替换姓名电话地址和独特身份线索,第三五章主题分析,按伦理审批期限保存
observation,OBS-B-02-PM,fieldnote,事实／感受／分析三栏现场笔记,结构化文本,中,地点必要时匿名,第三四五章场景材料,按伦理审批期限保存
survey,R-0001,response,居民问卷单份作答,题项代码列,中,删除设备标识与联系方式,第五章统计分析,只保留去标识数据
survey,V-0248,response,游客问卷单份作答,题项代码列,中,二维码来源单列；不存开放平台昵称,第四章统计分析,只保留去标识数据
analysis,NA,codebook_version,变量定义和修改记录,v0.1起,低,每次修改留日期和原因,方法章节可复核性,长期保留
analysis,NA,decision_log,排除样本、处理缺失和协商分歧的记录,日期＋决定＋理由,低,不可事后覆盖,方法与附录,长期保留
