题项编号,部分,测量构念,题目,回答选项,是否必答,分析说明
R-S1,筛选,居住资格,您是否年满18周岁并已在淮南连续居住1年以上？,是／否,是,选择否结束问卷
R-M1,媒介接触,接触频率,过去3个月我经常看到淮南牛肉汤相关内容,1非常不同意—5非常同意,是,与其他接触题组成构念
R-M2,媒介接触,来源多样,我通过不止一种渠道接触相关内容,1非常不同意—5非常同意,是,记录具体渠道多选
R-M3,媒介接触,主动参与,我会主动搜索、评论、收藏或转发相关内容,1非常不同意—5非常同意,是,避免与单纯看见混同
R-N1,叙事识别,证据区分,我能区分历史事实、地方传说和宣传说法,1非常不同意—5非常同意,是,预测试检查社会赞许偏差
R-N2,叙事识别,多样呈现,现有传播呈现了不止一种淮南人的生活经验,1非常不同意—5非常同意,是,与统一叙事相对照
R-N3,叙事识别,劳动可见,制作和经营牛肉汤的普通劳动者得到了充分呈现,1非常不同意—5非常同意,是,关注主体可见性
R-I1,地方身份,联结,牛肉汤会让我想到自己与淮南的联系,1非常不同意—5非常同意,是,身份构念
R-I2,地方身份,代表性,它能够表达我熟悉的淮南生活,1非常不同意—5非常同意,是,身份构念
R-I3,地方身份,自豪,当外地人认可淮南牛肉汤时我会感到自豪,1非常不同意—5非常同意,是,区分外部认可
R-I4,地方身份,排斥检验,即使不喜欢牛肉汤也不影响一个人属于淮南,1非常不同意—5非常同意,是,不反向计分；检验身份包容
R-F1,收益公平,普通门店,传播带来的机会惠及普通门店而不只是知名品牌,1非常不同意—5非常同意,是,公平构念
R-F2,收益公平,社区参与,居民和从业者能够参与品牌、标准和活动决策,1非常不同意—5非常同意,是,公平构念
R-F3,收益公平,信息透明,政府和行业公开说明产业数据、授权条件和活动收益,1非常不同意—5非常同意,是,治理感知
R-SU1,发展支持,有条件支持,我支持在保留门店差异和生活传统的前提下推广,1非常不同意—5非常同意,是,支持构念
R-SU2,发展支持,解释意愿,我愿意向外地人解释牛肉汤的多种故事而不只是转发口号,1非常不同意—5非常同意,是,参与意向
R-SU3,发展支持,保护投入,我支持将部分产业和活动收益投入学徒培养、档案和社区项目,1非常不同意—5非常同意,是,保护支持
R-O1,开放题,遗漏经验,现有传播最容易遗漏淮南牛肉汤的什么？,开放填写,否,主题编码
R-O2,开放题,改进建议,如果只能改进一件事，您希望改变什么？,开放填写,否,主题编码
R-D1,基本信息,年龄,您的年龄段是？,18—24／25—34／35—44／45—54／55—64／65以上,是,配额与分组
R-D2,基本信息,居住区域,您主要居住在哪个区县？,区县选项＋不便回答,是,配额与分组
R-D3,基本信息,行业关系,您或直系家人是否从事牛肉汤、餐饮、文旅或相关管理工作？,是／否／不便回答,是,利益相关分组
