题项编号,部分,测量构念,题目,回答选项,是否必答,分析说明
V-S1,筛选,游客资格,您是否年满18周岁、并非常住淮南居民？,是／否,是,选择否结束问卷
V-S2,筛选,实际体验,您本次是否已经在淮南实际消费牛肉汤？,是／否,是,选择否进入到访前短表或结束
V-C1,内容来源,首次来源,来访前您最早通过什么渠道知道淮南牛肉汤？,亲友／新闻／电视剧／短视频／图文平台／旅行平台／其他,是,分类变量
V-C2,内容来源,影视接触,您是否看过电视剧《六姊妹》或相关片段？,完整看过／看过片段／听说过／没有,是,分组变量
V-C3,内容来源,主动搜索,来访前我主动搜索过淮南牛肉汤或相关门店,1非常不同意—5非常同意,是,行为接触
V-C4,内容来源,决策影响,相关内容影响了我来淮南或选择门店的决定,1非常不同意—5非常同意,是,只测自报影响
V-I1,城市形象,认知形象,淮南有鲜明的饮食与地方生活特色,1非常不同意—5非常同意,是,认知形象
V-I2,城市形象,认知形象,淮南的历史、工业记忆和日常生活值得进一步了解,1非常不同意—5非常同意,是,认知形象
V-I3,城市形象,情感形象,我觉得淮南亲切而有生活气息,1非常不同意—5非常同意,是,情感形象
V-I4,城市形象,情感形象,我觉得淮南有活力并值得探索,1非常不同意—5非常同意,是,情感形象
V-A1,真实性感知,生活一致,现场体验与我理解的本地生活相符,1非常不同意—5非常同意,是,真实感构念
V-A2,真实性感知,非表演性,门店呈现不像是只为游客搭建的表演,1非常不同意—5非常同意,是,预测试检查否定表达
V-A3,真实性感知,多样性,我能感受到不同门店和吃法之间的真实差异,1非常不同意—5非常同意,是,地方性维度
V-Q1,门店品质,食物,食物的口味、温度和新鲜程度符合预期,1非常不同意—5非常同意,是,品质构念
V-Q2,门店品质,环境服务,卫生、服务和点单信息符合预期,1非常不同意—5非常同意,是,品质构念
V-Q3,门店品质,价格,价格与实际体验相称,1非常不同意—5非常同意,是,品质构念
V-SAT1,满意,总体满意,总体而言我对这次牛肉汤体验满意,1非常不同意—5非常同意,是,满意构念
V-P1,地方依恋,了解意愿,这次体验让我更想了解淮南,1非常不同意—5非常同意,是,地方联结
V-P2,地方依恋,情感联结,这次饮食体验让我对淮南产生了情感上的亲近,1非常不同意—5非常同意,是,地方联结
V-B1,行为意向,推荐,我愿意向他人推荐淮南牛肉汤和淮南之行,1非常不同意—5非常同意,是,行为意向
V-B2,行为意向,复访,条件允许时我愿意再次来淮南,1非常不同意—5非常同意,是,行为意向
V-B3,行为意向,购买,我愿意再次购买相关餐饮或正规产品,1非常不同意—5非常同意,是,行为意向
V-O1,开放题,预期差,来访前的想象与现场最大的不同是什么？,开放填写,否,主题编码
V-O2,开放题,记忆点,这次经历中您最可能记住并告诉别人的是什么？,开放填写,否,主题编码
V-D1,基本信息,来源地,您的常住地是？,省市＋不便回答,是,客源分组
V-D2,基本信息,访问次数,这是您第几次来淮南？,首次／2—3次／4次以上,是,首次与重复游客分组
V-D3,基本信息,同行关系,本次与谁同行？,独自／家人／朋友同事／旅行团／其他,否,情境控制
